,accuracy,algoritmo
0,0.97049,arvore
1,0.9702000000000002,arvore
2,0.97026,arvore
3,0.97033,arvore
4,0.9703199999999998,arvore
5,0.97014,arvore
6,0.97027,arvore
7,0.97061,arvore
8,0.9705799999999998,arvore
9,0.96999,arvore
10,0.97198,random_forest
11,0.9719500000000002,random_forest
12,0.97194,random_forest
13,0.9719,random_forest
14,0.9719,random_forest
15,0.97199,random_forest
16,0.97198,random_forest
17,0.9719,random_forest
18,0.97195,random_forest
19,0.97195,random_forest
20,0.9608,knn
21,0.96045,knn
22,0.96074,knn
23,0.96073,knn
24,0.96094,knn
25,0.96097,knn
26,0.96071,knn
27,0.96066,knn
28,0.96056,knn
29,0.96065,knn
30,0.9603,logistica
31,0.96029,logistica
32,0.96026,logistica
33,0.96029,logistica
34,0.96027,logistica
35,0.96028,logistica
36,0.96034,logistica
37,0.96027,logistica
38,0.96043,logistica
39,0.96025,logistica
40,0.96307,svm
41,0.96291,svm
42,0.96286,svm
43,0.9629599999999998,svm
44,0.96295,svm
45,0.96297,svm
46,0.9628899999999998,svm
47,0.96297,svm
48,0.96308,svm
49,0.96292,svm
50,0.9718800000000002,rede_neural
51,0.97174,rede_neural
52,0.97143,rede_neural
53,0.97187,rede_neural
54,0.97161,rede_neural
55,0.97151,rede_neural
56,0.97155,rede_neural
57,0.97166,rede_neural
58,0.97189,rede_neural
59,0.97177,rede_neural
